Sym,Time,Bot/Sld,Price,Quantity,Commision,P&L,Amount,Trade Type
INFN,9/30/2024 10:18,Sld,6.66,334,,3.34,2224.44,Closing
INFN,9/30/2024 10:10,Sld,6.68,317,,9.51,2117.56,Closing
FCX,9/30/2024 9:31,Sld,50.21,37,,-76.5997,1857.77,Closing
FCX,9/30/2024 9:31,Sld,50.21,39,,-80.7403,1958.19,Closing
GLNG,9/27/2024 12:48,Bot,37.12,53,,,1967.36,Opening
GLNG,9/27/2024 12:48,Bot,37.12,55,,,2041.6,Opening
SOUN,9/27/2024 10:17,Sld,4.79,392,,-98,1877.68,Closing
TSM,9/27/2024 10:13,Sld,181.5,12,,-23.52,2178,Closing
TSM,9/27/2024 9:37,Sld,183.54,12,,0.96,2202.48,Closing
GOTU,9/27/2024 9:31,Sld,4,477,,171.72,1908,Closing
GOTU,9/26/2024 11:49,Bot,3.64,477,,,1736.28,Opening
GOTU,9/26/2024 11:49,Bot,3.64,502,,,1827.28,Opening
FCX,9/26/2024 11:48,Bot,52.27,37,,,1933.99,Opening
FCX,9/26/2024 11:48,Bot,52.29,39,,,2039.31,Opening
POWL,9/25/2024 14:22,Sld,211.76,1,,-10.65,211.76,Closing
POWL,9/25/2024 14:22,Sld,211.76,1,,-10.65,211.76,Closing
POWL,9/25/2024 14:08,Sld,212.51,10,,-99,2125.1,Closing
POWL,9/25/2024 10:55,Bot,222.41,10,,,2224.1,Opening
POWL,9/25/2024 10:55,Bot,222.41,1,,,222.41,Opening
POWL,9/25/2024 10:55,Bot,222.41,1,,,222.41,Opening
TSM,9/25/2024 10:45,Bot,183.37,12,,,2200.44,Opening
TSM,9/25/2024 10:45,Bot,183.55,12,,,2202.6,Opening
SOUN,9/24/2024 10:40,Sld,4.81,373,,-85.79,1794.13,Closing
ROKU,9/20/2024 13:58,Sld,75.94,48,,10.08,3645.12,Closing
PLTR,9/20/2024 13:00,Sld,36.47,52,,1.3073,1896.44,Closing
PLTR,9/20/2024 13:00,Sld,36.47,55,,1.3827,2005.85,Closing
SOUN,9/18/2024 11:55,Bot,5.04,373,,,1879.92,Opening
SOUN,9/18/2024 11:55,Bot,5.04,392,,,1975.68,Opening
TTD,9/18/2024 11:53,Bot,107.55,19,,,2043.45,Opening
TTD,9/18/2024 11:52,Bot,107.54,20,,,2150.8,Opening
EXK,9/18/2024 11:19,Sld,3.49,809,,56.63,2823.41,Closing
INTC,9/17/2024 13:42,Sld,21.41,168,,-28.56,3596.88,Closing
INTC,9/17/2024 13:11,Bot,21.58,168,,,3625.44,Opening
MELI,9/17/2024 10:37,Sld,2091.7,1,,-0.815,2091.7,Closing
MELI,9/17/2024 10:37,Sld,2091.7,1,,-0.815,2091.7,Closing
MELI,9/17/2024 10:37,Sld,2091.7,1,,-0.815,2091.7,Closing
MELI,9/17/2024 10:37,Sld,2091.7,1,,-0.815,2091.7,Closing
ROKU,9/17/2024 10:32,Bot,75.73,48,,,3635.04,Opening
INTC,9/17/2024 10:28,Sld,21.86,168,,,3672.48,Closing
INTC,9/17/2024 10:27,Bot,21.86,168,,,3672.48,Opening
PLTR,9/16/2024 12:33,Bot,36.45,52,,,1895.4,Opening
PLTR,9/16/2024 12:33,Bot,36.44,55,,,2004.2,Opening
INFN,9/16/2024 10:16,Bot,6.65,317,,,2108.05,Opening
INFN,9/16/2024 10:16,Bot,6.65,334,,,2221.1,Opening
EXK,9/16/2024 9:52,Sld,3.76,768,,261.12,2887.68,Closing
MELI,9/12/2024 10:21,Bot,2092.62,1,,,2092.62,Opening
MELI,9/12/2024 10:21,Bot,2092.62,1,,,2092.62,Opening
MELI,9/12/2024 10:21,Bot,2092.14,1,,,2092.14,Opening
MELI,9/12/2024 10:21,Bot,2092.68,1,,,2092.68,Opening
EXK,9/12/2024 10:20,Bot,3.42,768,,,2626.56,Opening
EXK,9/12/2024 10:19,Bot,3.42,809,,,2766.78,Opening
CLS,9/9/2024 10:03,Bot,43.57,53,,1.59,2309.21,Opening
MELI,9/6/2024 11:57,Sld,1977,2,,4,3954,Closing
AFRM,9/6/2024 11:17,Sld,38.33,57,,-120.5331,2184.81,Closing
AFRM,9/6/2024 11:08,Sld,38.85,60,,-95.6769,2331,Closing
UHS,9/6/2024 10:17,Sld,232.77,22,,196.46,5120.94,Closing
AFRM,9/6/2024 9:57,Bot,40.46,57,,,2306.22,Opening
AFRM,9/6/2024 9:57,Bot,40.43,60,,,2425.8,Opening
CLS,9/6/2024 9:55,Sld,43.6,53,,,2310.8,Closing
ASTS,9/5/2024 9:38,Sld,28.4,69,,-369.84,1959.6,Closing
ASTS,9/4/2024 11:10,Bot,33.76,69,,,2329.44,Opening
ASTS,9/4/2024 11:10,Sld,33.78,138,,-26.22,4661.64,Closing
ASTS,9/4/2024 11:09,Bot,33.97,138,,,4687.86,Opening
LUMN,8/29/2024 14:54,Bot,5.21,1188,,11.88,6189.48,Opening
LUMN,8/29/2024 14:54,Bot,5.21,1080,,10.8,5626.8,Opening
HPQ,8/29/2024 11:28,Bot,36.42,202,,2.02,7356.84,Opening
CGC,8/29/2024 11:26,Bot,5.25,2845,,,14936.25,Opening
HPQ,8/29/2024 10:56,Sld,36.43,202,,,7358.86,Closing
HPQ,8/29/2024 10:55,Bot,36.5,203,,-42.63,7409.5,Opening
HPQ,8/29/2024 10:53,Sld,36.29,203,,,7366.87,Closing
HPQ,8/29/2024 10:52,Sld,36.36,404,,-40.4,14689.44,Closing
HPQ,8/29/2024 10:17,Bot,36.46,404,,,14729.84,Opening
WBA,8/29/2024 10:04,Bot,9.15,441,,398.5118,4035.15,Opening
WBA,8/29/2024 9:50,Bot,9.04,401,,406.4756,3625.04,Opening
WBA,8/29/2024 9:49,Bot,9.05,485,,486.7726,4389.25,Opening
GDOT,8/28/2024 12:17,Sld,10.94,357,,,3905.58,Closing
GDOT,8/28/2024 12:17,Sld,10.94,397,,,4343.18,Closing
UHS,8/28/2024 9:55,Sld,237.49,25,,341.25,5937.25,Closing
SKE,8/28/2024 9:31,Sld,7.72,432,,-181.44,3335.04,Closing
LUMN,8/27/2024 9:48,Sld,5.22,1188,,,6201.36,Closing
LUMN,8/27/2024 9:48,Sld,5.22,1080,,,5637.6,Closing
LUMN,8/27/2024 9:48,Sld,5.22,786,,-47.16,4102.92,Closing
CGC,8/27/2024 9:48,Sld,5.25,2845,,,14936.25,Closing
LUMN,8/27/2024 9:46,Bot,5.28,786,,,4150.08,Opening
AVBP,8/26/2024 15:17,Sld,27.97,112,,288.96,3132.64,Closing
AVBP,8/26/2024 15:17,Sld,27.97,125,,322.5,3496.25,Closing
LUMN,8/26/2024 10:42,Sld,5.91,735,,-485.1,4343.85,Closing
LUMN,8/26/2024 10:42,Sld,5.91,816,,-538.56,4822.56,Closing
TGTX,8/26/2024 10:23,Sld,23.73,1,,-0.7,23.73,Closing
AVBP,8/26/2024 9:39,Bot,25.39,112,,,2843.68,Opening
AVBP,8/26/2024 9:38,Bot,25.39,125,,,3173.75,Opening
SKE,8/26/2024 9:35,Bot,8.14,432,,,3516.48,Opening
GDOT,8/23/2024 9:46,Bot,10.94,357,,,3905.58,Opening
GDOT,8/23/2024 9:46,Bot,10.94,397,,,4343.18,Opening
LUMN,8/23/2024 9:42,Bot,6.57,735,,,4828.95,Opening
LUMN,8/23/2024 9:42,Bot,6.57,816,,,5361.12,Opening
WBA,8/22/2024 15:54,Sld,10.06,485,,,4879.1,Closing
WBA,8/22/2024 15:54,Sld,10.05,441,,,4432.05,Closing
WBA,8/22/2024 15:53,Sld,10.05,401,,,4030.05,Closing
KO,8/22/2024 13:31,Sld,69.11,86,,-53.5191,5943.46,Closing
KO,8/22/2024 12:45,Sld,69.29,48,,-21.2311,3325.92,Closing
MRNA,8/22/2024 11:10,Sld,83.43,37,,-165.76,3086.91,Closing
KO,8/21/2024 15:32,Sld,69.39,69,,-23.6198,4787.91,Closing
MELI,8/21/2024 9:36,Sld,1973.26,2,,-3.48,3946.52,Closing
KO,8/21/2024 9:35,Bot,69.78,69,,,4814.82,Opening
KO,8/21/2024 9:34,Bot,69.74,86,,,5997.64,Opening
KO,8/21/2024 9:33,Bot,69.65,48,,,3343.2,Opening
EBS,8/20/2024 10:37,Sld,10.59,349,,34.9,3695.91,Closing
CLOV,8/19/2024 10:19,Sld,3.07,1,,-0.13,3.07,Closing
